bmi,steps,heart_rate,temperature,wellness_score
24.3,457,91,36.5,90
22.1,470,87,37.6,80
23.7,1159,111,37.0,100
30.6,243,77,36.3,70
35.8,492,82,36.4,85
36.8,471,90,37.1,85
25.8,1403,138,36.6,90
16.7,1912,162,36.7,80
37.6,0,65,36.8,65
29.7,545,93,37.1,95
33.2,699,114,36.8,90
39.8,475,103,36.9,85
26.9,1039,99,37.0,95
16.8,1089,113,36.8,85
29.7,889,127,36.7,95
29.1,505,95,36.6,95
25.2,1025,115,36.7,95
34.0,485,100,37.1,90
18.4,1427,140,36.3,80
34.4,160,84,36.9,70
23.7,970,108,36.8,100
37.3,904,112,36.2,85
20.4,840,99,37.1,100
26.7,921,96,36.3,95
32.6,363,106,36.4,90
17.7,1021,115,36.9,85
21.3,815,107,36.8,90
28.9,417,85,36.2,85
18.0,370,76,38.9,40
16.8,1315,131,36.7,80
18.0,1542,131,36.9,80
18.2,1147,129,36.7,85
36.2,357,84,36.5,85
16.3,670,102,36.4,75
24.4,1192,119,36.2,100
32.1,593,110,37.1,90
28.0,677,101,36.5,95
33.1,400,82,38.6,65
33.1,585,121,36.3,90
27.3,380,86,36.8,85
23.6,1032,109,36.3,100
36.0,450,91,36.4,85
22.4,1108,117,36.4,100
20.5,1248,128,36.7,100
22.1,786,107,36.3,100
35.5,245,85,36.6,75
21.3,1688,153,37.0,95
31.2,1207,122,37.7,80
33.8,546,94,36.7,90
18.1,728,91,36.4,75
26.7,1140,121,36.9,95
25.6,808,91,36.8,95
36.8,579,103,36.6,85
35.5,432,94,36.5,85
37.9,671,111,37.2,85
39.8,690,103,36.8,85
23.3,1211,117,36.5,100
32.8,337,86,37.1,80
34.9,828,116,37.0,90
39.1,576,105,36.7,85
33.4,441,76,36.5,90
16.3,1108,103,36.2,85
27.5,810,107,36.4,95
31.5,525,84,36.8,90
30.3,991,123,36.2,90
25.6,511,82,36.4,85
32.1,490,104,36.2,90
37.8,573,114,37.1,85
18.8,1603,144,36.8,95
39.0,832,126,37.0,85
31.0,967,133,36.3,85
21.2,0,83,36.4,80
26.1,824,98,36.9,95
27.0,764,103,36.4,95
38.1,309,76,36.8,75
16.1,1119,119,38.5,60
34.7,517,94,36.5,90
24.1,799,110,36.5,100
29.0,825,109,37.2,95
18.9,1146,144,37.1,100
25.2,1296,143,36.8,90
26.9,1186,136,36.6,90
29.8,577,86,37.0,95
35.1,355,76,36.4,85
23.0,655,105,36.9,100
24.8,648,84,37.0,100
37.8,987,134,37.0,80
21.0,1230,135,36.5,95
18.1,1309,122,36.4,85
22.1,588,91,37.0,90
18.5,452,89,37.1,80
29.0,650,100,36.5,95
31.4,868,126,36.3,90
27.7,667,93,36.7,95
23.1,1597,143,36.3,95
23.9,637,108,36.8,100
35.8,329,90,37.1,75
31.8,568,97,36.9,90
19.0,1346,119,36.3,100
18.8,658,93,39.2,50
23.8,938,112,36.8,100
25.6,986,109,36.3,95
35.9,409,100,36.4,85
30.7,294,86,36.2,80
38.7,364,95,36.4,85
28.4,785,108,36.5,95
32.0,452,83,37.9,80
31.6,495,86,36.4,90
30.5,507,100,37.0,90
22.4,1254,136,36.5,95
39.5,425,102,36.5,85
31.3,641,105,36.6,90
30.8,958,117,37.1,90
29.9,1258,127,36.4,95
32.7,651,107,38.2,65
39.3,664,117,36.4,85
34.1,613,89,36.7,90
38.3,1023,128,37.1,85
30.3,615,103,37.1,90
24.4,1274,132,36.2,95
23.4,752,82,36.4,100
23.3,828,102,36.9,100
32.2,706,108,36.5,90
29.7,531,99,36.8,95
29.0,1028,121,37.2,95
20.2,1778,154,36.4,95
21.6,1567,140,36.7,95
31.7,843,103,37.1,90
16.2,1663,144,36.7,80
39.0,503,98,36.4,85
19.7,888,94,36.9,100
25.9,662,96,36.5,95
38.0,535,114,36.5,85
31.3,996,136,37.1,85
32.2,603,97,37.0,90
22.7,1076,116,39.0,75
25.0,611,102,36.9,90
24.4,793,103,37.0,100
20.9,1669,143,36.5,95
34.8,299,95,36.5,80
33.5,893,129,37.1,90
37.1,513,93,36.9,85
18.5,819,108,37.0,90
25.0,559,96,36.3,90
32.8,285,96,36.9,80
21.3,2207,171,38.1,70
26.8,1110,127,36.9,95
20.0,147,62,36.6,80
32.6,184,77,36.4,70
30.8,712,95,36.9,90
19.1,996,114,36.5,100
34.4,342,92,36.9,80
32.2,747,100,37.1,90
34.6,419,88,37.1,90
20.5,1563,132,37.1,95
23.8,444,91,37.1,90
19.4,1006,117,37.7,90
19.1,1743,153,39.4,55
27.3,466,96,37.1,85
20.8,1539,143,38.4,70
31.5,495,93,36.7,90
28.1,787,104,36.7,95
21.3,807,94,36.7,90
29.9,41,76,37.0,75
21.5,1221,123,38.4,75
29.1,841,111,36.7,95
22.5,1263,132,36.6,95
17.5,1627,136,36.4,80
23.1,806,92,36.9,100
21.6,1331,121,36.7,100
25.5,553,102,36.3,85
16.4,1092,134,36.9,85
27.9,1225,131,37.0,90
36.4,353,74,36.2,85
23.7,636,96,36.9,100
33.4,592,99,36.5,90
26.0,538,100,36.7,85
33.7,434,88,36.3,90
27.5,601,95,36.8,95
37.8,416,87,36.3,85
26.1,1043,101,36.5,95
20.6,1923,153,36.5,95
36.3,428,97,38.4,60
36.0,326,85,36.9,75
29.9,732,110,36.7,95
20.2,880,113,37.1,100
17.9,2060,141,36.7,80
23.3,753,117,36.7,100
26.5,1056,130,37.5,95
21.2,1725,156,37.0,95
31.0,700,111,38.6,65
27.5,688,112,36.5,95
22.4,1032,121,36.8,100
33.4,962,117,36.5,90
19.6,1487,140,36.5,95
35.6,575,102,36.8,85
27.5,548,94,36.9,95
30.7,1134,127,36.4,90
21.9,1857,170,37.0,95
26.9,1141,136,36.2,90
38.4,655,112,36.5,85
29.2,233,74,36.2,75
36.0,677,110,36.3,85
25.7,850,104,37.1,95
22.1,226,69,37.2,80
29.5,1090,123,36.7,95
16.5,903,112,37.1,85
23.9,1451,137,36.9,95
35.5,425,107,38.4,60
26.7,886,118,38.3,70
22.1,1152,113,39.2,60
35.2,508,92,36.3,85
36.5,547,109,36.6,85
17.7,1270,133,36.7,80
18.0,1142,112,36.9,85
37.2,508,101,37.2,85
21.9,2088,171,36.7,95
26.6,1164,126,37.0,95
34.0,662,114,38.3,65
24.6,1247,122,36.9,100
37.5,633,96,37.0,85
36.2,646,115,37.0,85
37.1,511,85,38.7,60
25.6,503,102,36.3,85
19.2,1378,117,37.0,100
25.4,3,59,36.5,75
30.6,559,101,36.5,90
20.1,1747,138,36.5,95
36.5,727,91,36.5,85
36.7,351,92,36.5,85
32.5,740,116,37.0,90
31.6,1003,104,38.4,65
21.8,1225,113,39.5,60
18.1,1427,112,36.8,85
27.7,584,101,36.3,95
33.2,823,109,37.9,80
28.5,950,126,37.1,95
29.4,444,92,37.0,85
24.6,675,103,36.7,100
24.2,875,119,36.8,100
40.0,445,98,37.1,85
23.6,1021,122,36.5,100
18.6,924,107,36.7,100
17.1,1294,122,36.7,85
39.8,527,101,36.5,85
25.9,382,79,36.8,85
17.3,872,110,37.0,85
18.7,1719,151,37.1,95
16.3,241,74,37.0,65
19.1,1753,146,36.8,95
36.9,471,96,37.1,85
28.9,676,97,37.2,95
30.3,859,115,37.2,90
26.5,919,105,36.9,95
39.4,416,103,36.9,85
39.2,507,103,36.9,85
29.5,988,115,36.2,95
28.3,456,99,36.5,85
24.2,1129,122,36.5,100
28.8,369,95,36.4,85
25.4,818,109,36.6,95
39.6,413,102,36.3,85
22.4,992,110,37.0,100
29.9,548,96,37.0,95
19.7,1334,110,38.4,75
27.2,688,111,36.5,95
19.9,1822,148,37.1,95
24.2,1305,131,36.8,95
27.7,515,85,36.4,95
18.6,2138,168,36.2,95
26.3,790,112,36.2,95
16.8,940,106,39.3,45
22.4,926,116,36.6,100
21.9,942,115,36.9,100
37.0,507,105,37.0,85
33.7,385,95,36.3,90
38.7,225,83,36.7,75
37.2,644,116,36.9,85
37.3,504,103,36.6,85
35.1,713,100,37.0,85
37.5,487,90,36.3,85
38.7,403,99,38.9,60
23.2,1299,136,36.7,95
35.4,525,105,37.2,85
21.4,900,116,36.6,100
25.1,1329,147,36.4,90
21.6,2006,157,37.2,95
22.3,1198,114,36.8,100
20.2,503,100,36.8,90
27.6,394,96,36.4,85
20.2,831,106,36.3,90
36.9,407,93,36.8,85
27.0,763,102,36.9,95
19.0,340,79,36.5,80
38.4,501,98,36.3,85
37.5,263,84,38.9,50
35.7,453,110,37.0,85
33.1,663,95,37.0,90
26.5,507,95,36.5,85
29.1,1054,116,36.3,95
37.1,565,106,37.0,85
20.2,1258,138,36.7,95
34.6,540,103,37.2,90
31.9,833,119,37.9,80
37.6,450,100,36.3,85
17.0,215,82,36.8,65
35.4,325,82,36.2,75
33.1,497,103,37.2,90
23.1,1384,136,36.5,95
18.9,2390,164,36.7,95
39.5,646,109,37.0,85
23.6,536,96,36.5,90
23.2,1448,122,36.5,100
31.4,647,105,36.4,90
36.2,804,107,36.4,85
34.9,175,84,37.0,70
37.8,755,103,37.0,85
30.2,1241,115,36.6,90
16.4,1288,121,36.9,85
33.4,79,70,37.2,70
24.5,1028,123,37.0,100
26.5,687,97,36.6,95
30.3,183,79,36.4,70
19.6,983,109,36.5,100
31.6,446,89,36.5,80
20.5,1138,129,36.6,100
34.1,217,97,36.2,80
31.6,721,96,36.5,90
27.8,603,85,36.7,95
21.2,1390,134,36.3,95
25.4,615,98,37.0,85
31.2,338,86,36.7,80
16.7,1824,170,36.5,80
33.3,290,81,36.6,80
31.1,1044,112,36.6,90
25.9,1203,130,36.3,95
22.9,1160,126,36.9,100
17.7,272,88,39.5,25
35.2,351,87,36.7,85
32.5,460,90,36.7,90
27.0,624,117,36.4,95
32.5,713,106,36.7,90
26.6,962,111,36.4,95
29.0,406,104,36.9,85
37.1,894,114,36.7,85
23.0,1681,145,36.2,95
18.3,1451,124,37.2,85
36.8,565,79,36.4,85
20.7,626,98,36.7,90
30.5,1193,124,37.1,90
38.7,409,109,36.6,85
18.3,1451,131,36.7,80
19.3,1802,157,36.5,95
17.7,1237,125,37.0,85
31.6,771,105,36.9,90
34.4,657,106,37.0,90
21.9,787,100,36.9,90
27.6,645,88,37.0,95
31.3,845,118,36.8,90
29.8,424,90,36.4,85
34.0,508,98,36.6,90
33.4,541,94,36.7,90
33.0,779,116,36.7,90
25.6,1277,136,36.9,90
35.7,711,103,36.7,85
22.9,264,71,36.8,80
33.5,690,107,36.7,90
22.4,630,90,36.9,100
32.5,683,101,36.3,90
26.0,964,130,36.9,95
27.6,330,94,36.3,85
35.8,304,84,36.4,75
20.3,1037,119,37.0,100
30.9,318,83,36.2,80
30.3,745,98,37.0,90
23.6,884,120,36.3,100
39.9,749,96,36.6,85
16.1,466,78,36.8,65
26.0,760,114,37.0,95
38.8,440,81,37.2,85
20.9,1165,132,36.9,100
18.3,1416,152,36.9,80
36.2,293,75,36.8,75
17.9,1672,137,36.6,80
28.4,1076,124,36.8,95
35.2,829,118,36.3,85
23.6,897,97,38.2,75
25.2,1558,140,36.7,90
34.2,267,82,36.5,80
31.5,111,70,36.3,70
30.8,442,93,36.7,80
23.8,1260,122,36.7,100
30.0,359,85,38.6,60
30.2,328,97,36.7,80
25.0,920,114,36.4,100
29.4,1204,125,36.8,95
20.8,310,81,37.1,80
16.4,1933,161,36.6,80
39.4,750,102,36.7,85
23.1,572,90,37.1,90
32.3,530,87,37.1,90
27.2,627,89,37.0,95
33.1,700,112,37.2,90
